time,flow,velocity,pressure,voltage
2022-09-21 6:59:08,2.031,0.043,1.329,12.8
2022-09-21 6:58:07,2.734,0.058,1.322,12.8
2022-09-21 6:57:05,0,0,1.32,12.8
2022-09-21 6:56:05,1.734,0.037,1.329,12.8
2022-09-21 6:55:04,0,0,1.328,12.7
2022-09-21 6:54:02,0,0,1.319,12.7
2022-09-21 6:53:02,1.641,0.035,1.326,12.7
2022-09-21 6:52:01,0,0,1.326,12.7
2022-09-21 6:51:00,0,0,1.326,12.7
2022-09-21 6:49:59,0,0,1.317,12.7
2022-09-21 6:48:58,0,0,1.317,12.7
2022-09-21 6:47:57,0,0,1.324,12.7
2022-09-21 6:46:56,0,0,1.339,12.7
2022-09-21 6:45:55,0,0,1.308,12.7
2022-09-21 6:44:53,0,0,1.307,12.7
2022-09-21 6:43:53,0,0,1.322,12.7
2022-09-21 6:42:54,0,0,1.33,12.7
2022-09-21 6:41:51,0,0,1.321,12.7
2022-09-21 6:40:49,1.656,0.035,1.314,12.7
2022-09-21 6:39:49,2.563,0.054,1.306,12.7
2022-09-21 6:38:48,2.516,0.053,1.322,12.7
2022-09-21 6:37:47,2.234,0.047,1.305,12.7
2022-09-21 6:36:46,0,0,1.305,12.7
2022-09-21 6:35:45,2,0.042,1.313,12.7
2022-09-21 6:34:43,0,0,1.328,12.7
2022-09-21 6:33:42,0,0,1.335,12.7
2022-09-21 6:32:41,0,0,1.328,12.7
2022-09-21 6:31:41,0,0,1.335,12.7
2022-09-21 6:30:40,0,0,1.334,12.7
2022-09-21 6:29:39,0,0,1.336,12.7
2022-09-21 6:28:38,1.445,0.03,1.335,12.7
2022-09-21 6:27:36,1.523,0.032,1.343,12.7
2022-09-21 6:26:36,0,0,1.35,12.7
2022-09-21 6:25:34,0,0,1.343,12.7
2022-09-21 6:24:34,0,0,1.351,12.7
2022-09-21 6:23:33,0,0,1.351,12.7
2022-09-21 6:22:32,0,0,1.342,12.7
2022-09-21 6:21:31,0,0,1.351,12.7
2022-09-21 6:20:29,0,0,1.351,12.7
2022-09-21 6:19:29,0,0,1.351,12.7
2022-09-21 6:18:28,0,0,1.351,12.7
2022-09-21 6:17:28,0,0,1.344,12.7
2022-09-21 6:16:26,0,0,1.343,12.7
2022-09-21 6:15:25,0,0,1.351,12.7
2022-09-21 6:14:23,0,0,1.359,12.7
2022-09-21 6:13:22,0,0,1.352,12.7
2022-09-21 6:12:22,0,0,1.351,12.7
2022-09-21 6:11:20,0,0,1.359,12.7
2022-09-21 6:10:21,0,0,1.344,12.7
2022-09-21 6:09:19,0,0,1.336,12.7
2022-09-21 6:08:18,1.742,0.037,1.337,12.7
2022-09-21 6:07:16,0,0,1.344,12.7
2022-09-21 6:06:15,0,0,1.336,12.7
2022-09-21 6:05:15,0,0,1.345,12.7
2022-09-21 6:04:14,0,0,1.337,12.7
2022-09-21 6:03:14,0,0,1.345,12.7
2022-09-21 6:02:12,0,0,1.337,12.7
2022-09-21 6:01:12,0,0,1.337,12.7